Equipment ID,Equipment Type,ABC,VED
1,E&SP (NR),C,E
2,E&SP (NR),C,V
3,NS,C,D
4,NS,C,E
5,E&SP (NR),C,E
6,E&SP (NR),C,E
7,E&SP (NR),C,V
8,E&SP (NR),C,D
9,E&SP (NR),C,D
10,NS,C,E
11,E&SP (R),C,E
12,E&SP (NR),C,V
13,E&SP (NR),C,E
14,E&SP (NR),C,E
15,E&SP (NR),B,E
16,E&SP (NR),C,D
17,NS,C,V
18,E&SP (NR),C,D
19,NS,C,E
20,E&SP (NR),C,V
21,E&SP (NR),C,D
22,E&SP (NR),C,E
23,E&SP (NR),C,D
24,E&SP (NR),C,E
25,NS,C,V
26,E&SP (NR),C,E
27,NS,C,E
28,E&SP (NR),C,E
29,E&SP (NR),C,E
30,E&SP (NR),C,D
31,E&SP (NR),C,E
32,E&SP (NR),C,E
33,NS,C,E
34,E&SP (NR),A,E
35,NS,C,E
36,E&SP (NR),C,D
37,E&SP (NR),C,E
38,E&SP (NR),C,D
39,E&SP (NR),C,E
40,E&SP (NR),C,E
41,E&SP (NR),C,E
42,E&SP (R),C,V
43,NS,C,V
44,E&SP (NR),C,E
45,NS,C,E
46,E&SP (NR),C,E
47,NS,C,E
48,NS,C,E
49,NS,C,E
50,E&SP (NR),C,D
51,E&SP (NR),C,E
52,E&SP (R),C,D
53,E&SP (NR),C,E
54,NS,C,E
55,NS,C,E
56,E&SP (NR),C,D
57,E&SP (NR),C,E
58,E&SP (NR),C,E
59,NS,B,E
60,NS,C,E
61,E&SP (NR),C,V
62,E&SP (NR),C,E
63,NS,C,E
64,NS,C,V
65,E&SP (NR),C,E
66,E&SP (NR),C,E
67,NS,C,E
68,E&SP (NR),C,E
69,E&SP (NR),B,E
70,NS,C,E
71,NS,C,D
72,E&SP (R),C,D
73,E&SP (NR),C,D
74,E&SP (NR),C,V
75,E&SP (NR),C,E
76,NS,C,V
77,NS,C,D
78,E&SP (NR),C,E
79,E&SP (NR),C,E
80,NS,C,V
81,E&SP (NR),C,E
82,E&SP (NR),C,V
83,E&SP (NR),C,E
84,E&SP (R),B,E
85,E&SP (R),C,D
86,NS,C,D
87,E&SP (NR),C,E
88,E&SP (NR),C,E
89,E&SP (R),C,E
90,E&SP (NR),B,E
91,E&SP (NR),C,E
92,NS,C,E
