Equipment ID,Year,Consumption,Stock,Demand,ACL,MSL,USL,PLT,RPQ
1,1990,0,1697,480,,,,12,
1,1991,0,2527,363,,,,12,
1,1992,0,2327,545,,,,12,
1,1993,0,2801,541,0.0,0.0,0.0,12,-2801.0
1,1994,0,2930,490,0.0,0.0,0.0,12,-2930.0
1,1995,0,3249,525,0.0,0.0,0.0,12,-3249.0
1,1996,0,3210,624,0.0,0.0,0.0,12,-3210.0
1,1997,0,3113,574,0.0,0.0,0.0,12,-3113.0
1,1998,0,3463,799,0.0,0.0,0.0,12,-3463.0
1,1999,0,3677,828,0.0,0.0,0.0,12,-3677.0
1,2000,0,3907,835,0.0,0.0,0.0,12,-3907.0
1,2001,0,4461,786,0.0,0.0,0.0,12,-4461.0
1,2002,0,4335,914,0.0,0.0,0.0,12,-4335.0
1,2003,0,4993,890,0.0,0.0,0.0,12,-4993.0
1,2004,0,5208,1022,0.0,0.0,0.0,12,-5208.0
1,2005,0,4557,1009,0.0,0.0,0.0,12,-4557.0
1,2006,0,4744,1053,0.0,0.0,0.0,12,-4744.0
1,2007,0,5236,1281,0.0,0.0,0.0,12,-5236.0
1,2008,0,5929,1160,0.0,0.0,0.0,12,-5929.0
1,2009,0,5655,1148,0.0,0.0,0.0,12,-5655.0
1,2010,0,5763,1204,0.0,0.0,0.0,12,-5763.0
1,2011,0,5873,1188,0.0,0.0,0.0,12,-5873.0
1,2012,0,6593,1412,0.0,0.0,0.0,12,-6593.0
1,2013,0,6273,1312,0.0,0.0,0.0,12,-6273.0
1,2014,0,6468,1356,0.0,0.0,0.0,12,-6468.0
1,2015,0,6450,1462,0.0,0.0,0.0,12,-6450.0
1,2016,0,6986,1403,0.0,0.0,0.0,12,-6986.0
1,2017,0,7312,1578,0.0,0.0,0.0,12,-7312.0
1,2018,0,7047,1657,0.0,0.0,0.0,12,-7047.0
1,2019,0,7706,1579,0.0,0.0,0.0,12,-7706.0
2,1990,652,913,3074,,,,18,
2,1991,723,1359,2325,,,,18,
2,1992,923,1251,3492,,,,18,
2,1993,866,1506,3467,811.0,973.1999999999999,2433.0,18,2143.4999999999995
2,1994,1097,1576,3137,861.0,1033.2,2583.0,18,2298.5
2,1995,947,1747,3360,991.0,1189.2,2973.0,18,2712.5
2,1996,967,1726,3997,983.0,1179.6,2949.0,18,2697.5
2,1997,1448,1674,3676,982.0,1178.3999999999999,2946.0,18,2745.0
2,1998,1298,1863,5116,1204.0,1444.8,3612.0,18,3555.0
2,1999,1516,1977,5303,1292.0,1550.3999999999999,3876.0,18,3836.999999999999
2,2000,1527,2101,5344,1432.0,1718.3999999999999,4296.0,18,4342.999999999999
2,2001,1462,2399,5035,1485.0,1782.0,4455.0,18,4283.5
2,2002,1667,2332,5851,1492.0,1790.3999999999999,4476.0,18,4381.999999999999
2,2003,1747,2686,5702,1575.0,1890.0,4725.0,18,4401.5
2,2004,1626,2801,6546,1672.0,2006.3999999999999,5016.0,18,4722.999999999999
2,2005,1743,2451,6463,1673.0,2007.6,5019.0,18,5077.5
2,2006,1991,2552,6742,1704.0,2044.8,5112.0,18,5116.0
2,2007,1926,2816,8199,1847.0,2216.4,5541.0,18,5495.5
2,2008,2146,3189,7427,1917.0,2300.4,5751.0,18,5437.5
2,2009,1958,3042,7353,2046.0,2455.2,6138.0,18,6165.0
2,2010,2119,3099,7711,2015.0,2418.0,6045.0,18,5968.5
2,2011,2329,3159,7609,2069.0,2482.7999999999997,6207.0,18,6151.5
2,2012,2634,3546,9038,2197.0,2636.4,6591.0,18,6340.5
2,2013,2463,3374,8399,2446.0,2935.2,7338.0,18,7633.0
2,2014,2522,3479,8681,2497.0,2996.4,7491.0,18,7757.5
2,2015,2448,3469,9362,2521.0,3025.2,7563.0,18,7875.5
2,2016,2540,3758,8981,2475.0,2970.0,7425.0,18,7379.5
2,2017,2693,3933,10105,2506.0,3007.2,7518.0,18,7344.0
2,2018,2909,3790,10610,2601.0,3121.2,7803.0,18,7914.5
2,2019,2681,4145,10107,2775.0,3330.0,8325.0,18,8342.5
3,1990,1800,1508,107,,,,18,
3,1991,1997,2246,81,,,,18,
3,1992,2551,2068,121,,,,18,
3,1993,2391,2489,121,2241.0,2689.2,6723.0,18,7595.5
3,1994,3030,2604,109,2378.0,2853.6,7134.0,18,8097.0
3,1995,2615,2887,117,2737.0,3284.4,8211.0,18,9429.5
3,1996,2671,2853,139,2716.0,3259.2,8148.0,18,9369.0
3,1997,3999,2766,128,2712.0,3254.4,8136.0,18,9438.0
3,1998,3584,3078,178,3325.0,3990.0,9975.0,18,11884.5
3,1999,4186,3267,185,3570.0,4284.0,10710.0,18,12798.0
3,2000,4217,3472,186,3954.0,4744.8,11862.0,18,14321.0
3,2001,4038,3964,175,4101.0,4921.2,12303.0,18,14490.5
3,2002,4603,3853,204,4122.0,4946.4,12366.0,18,14696.0
3,2003,4824,4437,198,4350.0,5220.0,13050.0,18,15138.0
3,2004,4491,4629,228,4619.0,5542.8,13857.0,18,16156.5
3,2005,4814,4050,225,4620.0,5544.0,13860.0,18,16740.0
3,2006,5498,4216,235,4708.0,5649.599999999999,14124.0,18,16970.0
3,2007,5319,4653,286,5102.0,6122.4,15306.0,18,18306.0
3,2008,5927,5269,259,5294.0,6352.8,15882.0,18,18554.0
3,2009,5408,5026,256,5652.0,6782.4,16956.0,18,20408.0
3,2010,5851,5121,269,5566.0,6679.2,16698.0,18,19926.0
3,2011,6431,5219,265,5716.0,6859.2,17148.0,18,20503.0
3,2012,7274,5859,315,6067.0,7280.4,18201.0,18,21442.5
3,2013,6802,5575,293,6755.0,8106.0,20265.0,18,24822.5
3,2014,6963,5748,302,6897.0,8276.4,20691.0,18,25288.5
3,2015,6760,5732,326,6961.0,8353.199999999999,20883.0,18,25592.5
3,2016,7014,6209,313,6834.0,8200.8,20502.0,18,24543.999999999996
3,2017,7438,6498,352,6920.0,8304.0,20760.0,18,24642.0
3,2018,8033,6263,370,7183.0,8619.6,21549.0,18,26060.5
3,2019,7403,6849,352,7664.0,9196.8,22992.0,18,27639.0
4,1990,1983,1101,2870,,,,18,
4,1991,2200,1640,2171,,,,18,
4,1992,2810,0,3260,,,,18,
4,1993,2633,1818,3237,2468.0,2961.6,7404.0,18,9288.0
4,1994,3337,1901,2928,2619.0,3142.7999999999997,7857.0,18,9884.499999999998
4,1995,2880,0,3137,3014.0,3616.7999999999997,9042.0,18,13562.999999999998
4,1996,2942,2083,3731,2991.0,3589.2,8973.0,18,11376.5
4,1997,4404,2020,3432,2987.0,3584.4,8961.0,18,11421.5
4,1998,3947,2248,4776,3662.0,4394.4,10986.0,18,14231.0
4,1999,4610,2386,4951,3931.0,4717.2,11793.0,18,15303.5
4,2000,4645,2535,4989,4354.0,5224.8,13062.0,18,17058.0
4,2001,4448,0,4700,4517.0,5420.4,13551.0,18,20326.5
4,2002,5070,2814,5463,4540.0,5448.0,13620.0,18,17616.0
4,2003,5313,3241,5323,4791.0,5749.2,14373.0,18,18318.5
4,2004,4947,3380,6112,5087.0,6104.4,15261.0,18,19511.5
4,2005,5302,2958,6034,5089.0,6106.8,15267.0,18,19942.5
4,2006,6055,0,6294,5185.0,6222.0,15555.0,18,23332.5
4,2007,5858,3398,7655,5619.0,6742.8,16857.0,18,21887.5
4,2008,6528,3848,6934,5831.0,6997.2,17493.0,18,22391.5
4,2009,5956,3670,6865,6225.0,7470.0,18675.0,18,24342.5
4,2010,6444,3740,7199,6130.0,7356.0,18390.0,18,23845.0
4,2011,7083,3812,7104,6295.0,7554.0,18885.0,18,24515.5
4,2012,8012,4279,8439,6682.0,8018.4,20046.0,18,25790.0
4,2013,7491,4071,7842,7441.0,8929.199999999999,22323.0,18,29413.5
4,2014,7670,4197,8105,7596.0,9115.199999999999,22788.0,18,29985.0
4,2015,7446,4186,8741,7667.0,9200.4,23001.0,18,30315.5
4,2016,7725,4534,8385,7528.0,9033.6,22584.0,18,29342.0
4,2017,8193,4746,9434,7622.0,9146.4,22866.0,18,29553.0
4,2018,8848,4574,9906,7912.0,9494.4,23736.0,18,31030.0
4,2019,8154,5001,9436,8442.0,10130.4,25326.0,18,32988.0
5,1990,689,161,3101,,,,18,
5,1991,764,239,2345,,,,18,
5,1992,976,220,3523,,,,18,
5,1993,915,265,3498,857.0,1028.3999999999999,2571.0,18,3591.5
5,1994,1160,278,3164,910.0,1092.0,2730.0,18,3817.0
5,1995,1001,308,3390,1047.0,1256.3999999999999,3141.0,18,4403.5
5,1996,1022,304,4031,1039.0,1246.8,3117.0,18,4371.5
5,1997,1531,295,3708,1038.0,1245.6,3114.0,18,4376.0
5,1998,1372,328,5160,1273.0,1527.6,3819.0,18,5400.5
5,1999,1602,348,5350,1366.0,1639.2,4098.0,18,5799.0
5,2000,1614,370,5391,1513.0,1815.6,4539.0,18,6438.5
5,2001,1546,423,5079,1569.0,1882.8,4707.0,18,6637.5
5,2002,1762,411,5903,1578.0,1893.6,4734.0,18,6690.0
5,2003,1847,473,5752,1665.0,1998.0,4995.0,18,7019.5
5,2004,1719,494,6604,1768.0,2121.6,5304.0,18,7462.0
5,2005,1843,432,6519,1768.0,2121.6,5304.0,18,7524.0
5,2006,2105,450,6800,1802.0,2162.4,5406.0,18,7659.0
5,2007,2036,496,8271,1953.0,2343.6,5859.0,18,8292.5
5,2008,2269,562,7492,2026.0,2431.2,6078.0,18,8555.0
5,2009,2070,536,7417,2164.0,2596.7999999999997,6492.0,18,9202.0
5,2010,2240,546,7778,2130.0,2556.0,6390.0,18,9039.0
5,2011,2462,557,7676,2188.0,2625.6,6564.0,18,9289.0
5,2012,2785,625,9117,2322.0,2786.4,6966.0,18,9824.0
5,2013,2604,595,8473,2586.0,3103.2,7758.0,18,11042.0
5,2014,2666,613,8757,2640.0,3168.0,7920.0,18,11267.0
5,2015,2588,612,9444,2665.0,3198.0,7995.0,18,11380.5
5,2016,2685,662,9060,2616.0,3139.2,7848.0,18,11110.0
5,2017,2848,693,10193,2649.0,3178.7999999999997,7947.0,18,11227.499999999998
5,2018,3075,668,10703,2750.0,3300.0,8250.0,18,11707.0
5,2019,2834,731,10195,2934.0,3520.7999999999997,8802.0,18,12471.999999999998
6,1990,599,1129,1133,,,,12,
6,1991,664,1682,857,,,,12,
6,1992,849,1548,1287,,,,12,
6,1993,795,1864,1278,745.0,894.0,2235.0,12,1116.0
6,1994,1008,1950,1156,791.0,949.1999999999999,2373.0,12,1213.9999999999995
6,1995,870,2162,1239,910.0,1092.0,2730.0,12,1478.0
6,1996,889,2136,1473,903.0,1083.6,2709.0,12,1475.9999999999995
6,1997,1331,2072,1355,902.0,1082.3999999999999,2706.0,12,1536.0
6,1998,1192,2305,1886,1106.0,1327.2,3318.0,12,2119.0
